Id,Time,Move,Station_Distance,Station_Angle,Astronaut_Angle
0,2022-03-09 10:34:02.877156,1,,0.0,3.539469674100885
1,2022-03-09 10:34:05.370810,1,,0.0,3.5339854772613974
2,2022-03-09 10:34:08.010813,1,380.0,3.8020858553165504,6.065722356547354
3,2022-03-09 10:34:10.737335,1,378.0,3.9257447117132136,5.924852609096359
4,2022-03-09 10:34:13.547336,2,,3.9257447117132136,3.124176997025959
5,2022-03-09 10:34:16.158334,1,181.0,2.915571873025012,5.827563364381083
6,2022-03-09 10:34:18.857334,1,202.0,2.897812791087455,5.928215006166303
7,2022-03-09 10:34:21.526334,1,446.0,2.153026182550125,5.105570684477058
8,2022-03-09 10:34:24.195334,1,401.0,3.2066682399063224,3.753999178532618
9,2022-03-09 10:34:26.833333,2,325.0,3.228770757695851,3.1285770893374902
10,2022-03-09 10:34:29.472334,2,440.0,3.822807432295569,3.274784220659849
11,2022-03-09 10:34:32.078337,1,380.0,3.5204535937082624,3.613767234493132
12,2022-03-09 10:34:34.668335,2,363.0,3.7866506802568782,3.0437841276528417
13,2022-03-09 10:34:37.242347,2,161.0,3.6029361192027944,3.0385336253667408
14,2022-03-09 10:34:39.823334,2,299.0,2.007222015874788,3.200034113407731
15,2022-03-09 10:34:42.346339,2,,2.007222015874788,3.4135345113877444
16,2022-03-09 10:34:44.901336,1,434.0,1.865231272626776,3.719015095559211
17,2022-03-09 10:34:47.519333,0,409.0,1.8531241613942129,3.238371071984589
18,2022-03-09 10:34:50.130335,2,452.0,1.819523299007198,3.727628285338881
19,2022-03-09 10:34:53.388331,2,744.0,2.0957757082109794,3.915462690705495
20,2022-03-09 10:34:56.427967,2,,2.0957757082109794,4.143038192445852
21,2022-03-09 10:34:59.106965,1,,2.0957757082109794,4.432785871787667
22,2022-03-09 10:35:01.746832,2,492.0,1.4492724036401112,4.079445619496215
23,2022-03-09 10:35:04.412834,1,491.0,1.6100437110290855,4.500336814059416
24,2022-03-09 10:35:07.056834,1,455.0,1.6110970750986784,4.463040910414985
25,2022-03-09 10:35:09.750835,2,493.0,1.577688575250189,4.200016171477586
26,2022-03-09 10:35:12.499833,1,484.0,1.6007228734104908,4.834538437564433
27,2022-03-09 10:35:15.209841,1,507.0,1.4036516440469615,4.922175852102724
28,2022-03-09 10:35:17.899836,1,506.0,1.561658522357388,4.6616520106625465
29,2022-03-09 10:35:20.532833,1,480.0,1.6084995749651663,4.150032017756513
30,2022-03-09 10:35:23.148841,2,487.0,1.6179770941064637,4.148714074665906
31,2022-03-09 10:35:25.952834,1,481.0,1.6324379684312813,4.707235703157945
32,2022-03-09 10:35:28.601836,1,477.0,1.5658199404254871,4.863246059242222
33,2022-03-09 10:35:31.246843,1,526.0,1.4364239890765003,4.386359366111813
34,2022-03-09 10:35:33.916834,1,486.0,1.6390281550263985,4.787518368189202
35,2022-03-09 10:35:36.518832,2,459.0,1.7457836849480763,3.831906407839413
36,2022-03-09 10:35:39.122843,2,612.0,1.9000344768654642,3.801409104425144
37,2022-03-09 10:35:41.759833,2,666.0,1.8752254053875017,3.9126682332584886
38,2022-03-09 10:35:44.332833,2,486.0,1.691327248204054,4.019978655221756
39,2022-03-09 10:35:46.972833,2,475.0,1.6782037915352532,4.218010099167054
40,2022-03-09 10:35:49.587915,1,477.0,1.6546329688633108,4.563381188905929
41,2022-03-09 10:35:52.235914,2,470.0,1.6665537941557993,4.005731179983423
42,2022-03-09 10:35:54.842917,2,494.0,1.6792199130861523,4.037887232759003
43,2022-03-09 10:35:57.413915,2,490.0,1.6585052819489237,4.174558855655391
44,2022-03-09 10:36:00.047914,1,491.0,1.679769858909868,4.428780372918871
45,2022-03-09 10:36:02.643921,2,495.0,1.6729772843209973,3.7615126118815794
46,2022-03-09 10:36:05.213913,0,529.0,1.6398153120321126,3.6499991228568898
47,2022-03-09 10:36:07.833916,1,526.0,1.644875553005523,4.514458274446296
48,2022-03-09 10:36:10.433917,2,,1.644875553005523,4.204403291631559
49,2022-03-09 10:36:13.111915,1,,1.644875553005523,4.365904175463113
50,2022-03-09 10:36:15.762915,2,,1.644875553005523,3.7488607430404253
51,2022-03-09 10:36:18.352914,0,559.0,1.6485959669320032,3.618533136411448
52,2022-03-09 10:36:20.941920,1,,1.6485959669320032,4.3812669974667315
53,2022-03-09 10:36:23.473916,2,,1.6485959669320032,4.254280150557794
54,2022-03-09 10:36:26.053917,0,801.0,4.743570386673669,3.6315898072411463
55,2022-03-09 10:36:28.658916,0,526.0,5.101514058632158,3.4050560919505912
56,2022-03-09 10:36:31.254915,1,767.0,5.349330099866291,4.77593489805107
57,2022-03-09 10:36:33.943915,2,752.0,5.489176115039381,3.7403514054137768
58,2022-03-09 10:36:36.563915,2,733.0,5.6162467318050115,3.7582175891807164
59,2022-03-09 10:36:39.344917,2,734.0,5.728629583054733,3.9491214893275384
60,2022-03-09 10:36:42.016914,2,635.0,5.826579835287093,3.8112134435649776
61,2022-03-09 10:36:44.657916,0,672.0,5.930415086676287,3.686315236034965
62,2022-03-09 10:36:47.617913,0,697.0,6.006559533968351,3.6286973687568636
63,2022-03-09 10:36:50.418446,0,726.0,6.07930685598016,3.4507355637199364
64,2022-03-09 10:36:53.069442,2,,6.07930685598016,3.7701097014217275
65,2022-03-09 10:36:55.737968,2,,6.07930685598016,3.8520516211366944
66,2022-03-09 10:36:58.278964,0,,6.07930685598016,3.668538423123213
67,2022-03-09 10:37:00.791965,0,,6.07930685598016,3.585165150199987
68,2022-03-09 10:37:03.391966,2,780.0,1.3584502538579244,4.304206608797934
